Temperature (K),Mass,Luminosity(L/Lo),Radius(R/Ro),Absolute magnitude(Mv),Star type,Star color,Spectral Class,,name
3068,53,0.0024,0.17,16.12,0,Red,M,,11 Comae Berenices b
3042,13.5,0.0005,0.1542,16.6,0,Red,M,,11 Ursae Minoris b
2600,20,0.0003,0.102,18.7,0,Red,M,,14 Andromedae b
2800,17,0.0002,0.16,16.65,0,Red,M,,14 Herculis b
1939,63,0.000138,0.103,20.06,0,Red,M,,16 Cygni B b
2840,25,0.00065,0.11,16.98,0,Red,M,,18 Delphini b
2637,52,0.00073,0.127,17.22,0,Red,M,,1RXS J160929.1-210524 b
2600,,0.0004,0.096,17.4,0,Red,M,,24 Bootis b
2650,11,0.00069,0.11,17.45,0,Red,M,,24 Sextantis b
2700,20,0.00018,0.13,16.05,0,Red,M,,24 Sextantis c
3600,28,0.0029,0.51,10.69,1,Red,M,,2MASS J01033563-5515561 AB b
3129,14,0.0122,0.3761,11.79,1,Red,M,,2MASS J01225093-2439505 b
3134,53,0.0004,0.196,13.21,1,Red,M,,2MASS J02192210-3925225 b
3628,18.4,0.0055,0.393,10.48,1,Red,M,,2MASS J04414489+2301513 b
2650,15.5,0.0006,0.14,11.782,1,Red,M,,2MASS J12073346-3932539 b
3340,63.4,0.0038,0.24,13.07,1,Red,M,,2MASS J19383260+4603591 b
2799,37,0.0018,0.16,14.79,1,Red,M,,2MASS J21402931+1625183 A b
3692,13.98,0.00367,0.47,10.8,1,Red,M,,2MASS J22362452+4751425 b
3192,23,0.00362,0.1967,13.53,1,Red,M,,30 Arietis B b
3441,35,0.039,0.351,11.18,1,Red,M,,42 Draconis b
25000,21,0.056,0.0084,10.58,2,Blue White,B,,47 Ursae Majoris b
7740,17,0.00049,0.01234,14.02,2,White,A,,47 Ursae Majoris c
7220,54,0.00017,0.011,14.23,2,White,F,,47 Ursae Majoris d
8500,18.1,0.0005,0.01,14.5,2,White,A,,4 Ursae Majoris b
16500,15.2,0.013,0.014,11.89,2,Blue White,B,,51 Eridani b
12990,60,0.000085,0.00984,12.23,2,Yellowish White,F,,51 Pegasi b
8570,14.3,0.00081,0.0097,14.2,2,Blue white,A,,55 Cancri b
7700,14,0.00011,0.0128,14.47,2,Yellowish White,F,,55 Cancri c
11790,39,0.00015,0.011,12.59,2,Yellowish White,F,,55 Cancri d
7230,14,0.00008,0.013,14.08,2,Pale yellow orange,F,,55 Cancri e
39000,19.8,204000,10.6,-4.7,3,Blue,O,,55 Cancri f
30000,40,28840,6.3,-4.2,3,Blue-white,B,,61 Virginis b
15276,18,1136,7.2,-1.97,3,Blue-white,B,,61 Virginis c
9700,17,74,2.89,0.16,3,Whitish,B,,61 Virginis d
5800,34,0.81,0.9,5.05,3,yellow-white,F,,6 Lyncis b
8052,37,8.7,1.8,2.42,3,Whitish,A,,70 Virginis b
6757,28,1.43,1.12,2.41,3,yellow-white,F,,75 Ceti b
6380,19.23,1.35,0.98,2.93,3,yellow-white,F,,7 Canis Majoris b
5936,12.5,1.357,1.106,4.46,3,yellow-white,F,,7 Canis Majoris c
5587,60,0.819,0.99,5.03,3,yellow-white,F,,81 Ceti b
3826,40,200000,19,-6.93,4,Red,M,,8 Ursae Minoris b
3365,47,340000,23,-6.2,4,Red,M,,91 Aquarii b
3270,18.15,150000,88,-6.02,4,Red,M,,AB Pictoris b
3200,42,195000,17,-7.22,4,Red,M,,Alpha Arietis b
3008,46,280000,25,-6,4,Red,M,,Alpha Tauri b
3600,15342,320000,29,-6.6,4,Red,M,,AU Microscopii b
3575,15,123000,45,-6.78,4,Red,M,,BD+03 2562 b
3574,21.9,200000,89,-5.24,4,Red,M,,BD-06 1339 b
3625,46,184000,84,-6.74,4,Red,M,,BD-06 1339 c
33750,40-50,220000,26,-6.1,4,Blue,B,,BD-08 2823 b
3490,21.66,270000,1520,-9.4,5,Red,M,,BD-08 2823 c
3750,65,283000,1260,-7.63,5,Red,M,,BD-10 3166 b
3834,55,272000,1183,-9.2,5,Red,M,,BD-11 4672 b
3749,17.4,550000,1648,-8.05,5,Orange,M,,BD-11 4672 c
3650,,310000,1324,-7.79,5,Red,M,,BD-13 2130 b
3450,,263000,1349,-11.75,5,Red,M,,BD+14 4559 b
3660,,363000,1673,-11.92,5,Red,M,,BD+15 2375 b
3450,,174000,1284,-11.28,5,Red,M,,BD+15 2940 b
3752,,209000,955,-11.24,5,Red,M,,BD-17 63 b
3535,,195000,1546,-11.36,5,Red,M,,BD+20 2457 b
3341,,0.0056,0.057,16.23,0,Red,M,,BD+20 2457 c
3432,,0.00067,0.19,16.94,0,Red,M,,BD+20 274 b
2983,,0.00024,0.094,16.09,0,Red,M,,BD+20 594 b
2835,,0.00034,0.0918,16.96,0,Red,M,,BD+48 738 b
2935,,0.00014,0.116,18.89,0,Red,M,,BD+48 740 b
3295,,0.00098,0.132,17.13,0,Red,M,,BD+49 828 b
2945,,0.00032,0.093,18.34,0,Red,M,,Beta Cancri b
2817,,0.00098,0.0911,16.45,0,Red,M,,Beta Pictoris b
2774,,0.00036,0.118,17.39,0,Red,M,,Beta Pictoris c
2871,,0.00072,0.12,19.43,0,Red,M,,Beta Ursae Minoris b
3345,,0.021,0.273,12.3,1,Red,M,,CFBDSIR J145829+101343 b
3607,,0.022,0.38,10.12,1,Red,M,,CHXR 73 b
3304,,0.0085,0.18,13.2,1,Red,M,,CI Tauri b
3150,,0.0088,0.35,11.94,1,Red,M,,CoRoT-10 b
3550,,0.004,0.291,10.89,1,Red,M,,CoRoT-11 b
3180,,0.001,0.35,11.76,1,Red,M,,CoRoT-12 b
2890,,0.0034,0.24,13.46,1,Red,M,,CoRoT-13 b
3342,,0.0015,0.307,11.87,1,Red,M,,CoRoT-14 b
2621,,0.0006,0.098,12.81,1,Red,M,,CoRoT-16 b
3158,,0.00135,0.161,13.98,1,Red,M,,CoRoT-17 b
7100,,0.00029,0.012,14.09,2,White-Yellow,F,,CoRoT-18 b
10574,,0.00014,0.0092,12.02,2,White,F,,CoRoT-19 b
8930,,0.00056,0.0095,13.78,2,white,A,,CoRoT-1 b
17200,,0.00098,0.015,12.45,2,Blue White,B,,CoRoT-20 b
14100,,0.00067,0.0089,12.17,2,Blue White,B,,CoRoT-20 c
9675,,0.00045,0.0109,13.98,2,Blue White,A,,CoRoT-21 b
12010,,0.00078,0.0092,12.13,2,Blue White,B,,CoRoT-22 b
10980,,0.00074,0.0087,11.19,2,Blue White,B,,CoRoT-23 b
13720,,0.00018,0.00892,12.97,2,white,F,,CoRoT-24 b
19860,,0.0011,0.0131,11.34,2,Blue ,B,,CoRoT-24 c
5300,,0.59,0.91,5.49,3,yellow-white,F,,CoRoT-25 b
4526,,0.153,0.865,6.506,3,yellowish,K,,CoRoT-26 b
4077,,0.085,0.795,6.228,3,yellowish,K,,CoRoT-27 b
4980,,0.357,1.13,4.78,3,Yellowish,K,,CoRoT-28 b
9030,,45,2.63,1.45,3,Blue-white,A,,CoRoT-29 b
11250,,672,6.98,-2.3,3,Blue-white,A,,CoRoT-2 b
5112,,0.63,0.876,4.68,3,Orange-Red,K,,CoRoT-30 b
7720,,7.92,1.34,2.44,3,yellow-white,F,,CoRoT-31 b
12098,,689,7.01,0.02,3,Blue-white,A,,CoRoT-3 b
36108,,198000,10.2,-4.4,3,Blue,O,,CoRoT-4 b
33300,,240000,12,-6.5,4,Blue,B,,CoRoT-5 b
40000,,813000,14,-6.23,4,Blue,O,,CoRoT-6 b
23000,,127000,36,-5.76,4,Blue,O,,CoRoT-7 b
17120,,235000,83,-6.89,4,Blue,O,,CoRoT-7 c
11096,,112000,12,-5.91,4,Blue,O,,CoRoT-8 b
14245,,231000,42,-6.12,4,Blue,O,,CoRoT-9 b
24630,,363000,63,-5.83,4,Blue,O,,CoRoTID 223977153 b
12893,,184000,36,-6.34,4,Blue,O,,CT Chamaleontis b
24345,,142000,57,-6.24,4,Blue,O,,DE Canun Venaticorum b
33421,,352000,67,-5.79,4,Blue,O,,DENIS-P J082303.1-491201 b
3459,,100000,1289,-10.7,5,Red,M,,DH Tauri b
3605,,126000,1124,-10.81,5,Red,M,,DMPP-1 b
3615,,200000,1635,-11.33,5,Red,M,,DMPP-1 c
3399,,117000,1486,-10.92,5,Red,M,,DMPP-1 d
3610,,132000,1522,-10.86,5,Red,M,,DMPP-1 e
3553,,145000,1324,-11.03,5,Red,M,,DMPP-2 b
4015,,282000,1534,-11.39,5,Red,K,,DMPP-3 A b
3625,,74000,876,-10.25,5,Red,M,,DP Leonis b
6850,,229000,1467,-10.07,5,Red,G,,DS Tucanae A b
3780,,200000,1324,-10.7,5,Red,M,,EPIC 201238110 b
3323,,0.00043,0.0912,17.16,0,Red,M,,EPIC 201497682 b
3531,,0.00093,0.0976,19.94,0,Red,M,,EPIC 201615463 c
3218,,0.00054,0.11,20.02,0,Red,M,,EPIC 201754305 d
3146,,0.00015,0.0932,16.92,0,Red,M,,EPIC 201833600 c
3511,,0.00064,0.109,17.12,0,Red,M,,EPIC 201841433 b
3225,,0.00076,0.121,19.63,0,Red,M,,EPIC 205950854 c
2935,,0.00087,0.0932,16.88,0,Red,M,,EPIC 206024342 b
2861,,0.00019,0.0899,16.71,0,Red,M,,EPIC 206032309 b
2856,,0.000896,0.0782,19.56,0,Red,M,,EPIC 206042996 b
2731,,0.000437,0.0856,18.09,0,Red,M,,EPIC 206215704 b
3095,,0.00019,0.492,10.87,1,Red,M,,EPIC 206317286 b
3607,,0.00023,0.38,10.34,1,Red,M,,EPIC 211822797 b
3100,,0.008,0.31,11.17,1,Red,M,,EPIC 211945201 b
2989,,0.0087,0.34,13.12,1,Red,M,,EPIC 212297394 b
3542,,0.0009,0.62,14.23,1,Red,M,,EPIC 212424622 b
3243,,0.0023,0.73,14.75,1,Red,M,,EPIC 212499991 b
3091,,0.0081,0.24,11.43,1,Red,M,,EPIC 212587672 b
3598,,0.0011,0.56,14.26,1,Red,M,,EPIC 212737443 b
3324,,0.0034,0.34,12.23,1,Red,M,,EPIC 212737443 c
3541,,0.0013,0.256,14.33,1,Red,M,,EPIC 220554210 c
13420,,0.00059,0.00981,13.67,2,Blue White,B,,EPIC 220674823 b
21020,,0.0015,0.0112,11.52,2,Blue,B,,EPIC 220674823 c
18290,,0.0013,0.00934,12.78,2,Blue,B,,EPIC 246851721 b
14520,,0.00082,0.00972,11.92,2,Blue White,B,,EPIC 248847494 b
11900,,0.00067,0.00898,11.38,2,Blue white ,B,,EPIC 249893012 b
8924,,0.00028,0.00879,14.87,2,Blue white,A,,EPIC 249893012 c
12912,,0.00071,0.00945,12.83,2,Blue white,B,,EPIC 249893012 d
14732,,0.00011,0.00892,12.89,2,white,F,,Epsilon Coronae Borealis b
7723,,0.00014,0.00878,14.81,2,White,A,,Epsilon Eridani b
12984,,0.00088,0.00996,11.23,2,Blue White,B,,Epsilon Indi A b
29560,,188000,6.02,-4.01,3,Blue-white,B,,Epsilon Tauri b
8945,,38,2.487,0.12,3,Blue-White,A,,FU Tauri b
14060,,1092,5.745,-2.04,3,Blue-white,A,,G 9-40 b
16390,,1278,5.68,-3.32,3,Blue-white,B,,Gamma 1 Leonis b
25070,,14500,5.92,-3.98,3,Blue-white,B,,Gamma Cephei b
28700,,16790,6.4,-4.09,3,Blue-white,B,,Gamma Librae b
26140,,14520,5.49,-3.8,3,Blue-white,B,,Gamma Librae c
20120,,4720,6.78,-3.4,3,Blue-white,B,,GJ 1061 b
13023,,998,6.21,-1.38,3,Blue-white,A,,GJ 1061 c
37800,,202900,6.86,-4.56,3,Blue,O,,GJ 1061 d
25390,,223000,57,-5.92,4,Blue,O,,GJ 1132 b
11567,,251000,36,-6.245,4,Blue,O,,GJ 1132 c
12675,,452000,83,-5.62,4,Blue,O,,GJ 1148 b
5752,,245000,97,-6.63,4,Blue,O,,GJ 1148 c
8927,,239000,35,-7.34,4,Blue,O,,GJ 1214 b
7282,,131000,24,-7.22,4,Blue,O,,GJ 1252 b
19923,,152000,73,-5.69,4,Blue,O,,GJ 1265 b
26373,,198000,39,-5.83,4,Blue,O,,GJ 143 b
17383,,342900,30,-6.09,4,Blue,O,,GJ 15 A b
9373,,424520,24,-5.99,4,Blue,O,,GJ 15 A c
3570,,320000,1480,-7.58,5,Red,M,,GJ 160.2 b
3500,,138000,1420,-8.18,5,Red,M,,GJ 163 b
4287,,630000,1315,-9.2,5,Orange,K,,GJ 163 c
26000,,316000,1679,-9.1,5,Blue,B,,GJ 163 d
3600,,240000,1190,-7.89,5,Red,M,,GJ 179 b
3614,,145000,1553,-7.71,5,Red,M,,GJ 180 b
18000,,200000,1045,-8.3,5,Blue,O,,GJ 180 c
11000,,170000,1779,-9.9,5,Blue-white,B,,GJ 180 d
12100,,120000,708.9,-7.84,5,Blue-white,B,,GJ 2056 b
24490,,248490,1134.5,-8.24,5,Blue-white,B,,GJ 229 A c
2831,,0.000231,0.0915,16.21,0,Red,M,,GJ 229 b
2914,,0.000631,0.116,18.39,0,Red,M,,GJ 27.1 b
3419,,0.000245,0.126,17.56,0,Red,M,,GJ 273 b
3218,,0.000452,0.0987,17.34,0,Red,M,,GJ 273 c
3453,,0.000621,0.0773,17.08,0,Red,M,,GJ 3021 b
2889,,0.000352,0.0973,16.93,0,Red,M,,GJ 3082 b
2968,,0.000461,0.119,17.45,0,Red,M,,GJ 3138 b
3484,,0.000551,0.0998,16.67,0,Red,M,,GJ 3138 c
2778,,0.000849,0.112,19.45,0,Red,M,,GJ 3138 d
3523,,0.000957,0.129,16.35,0,Red,M,,GJ 317 b
3462,,0.0053,0.148,11.47,1,Red,M,,GJ 317 c
3257,,0.0024,0.46,10.73,1,Red,M,,GJ 328 b
2994,,0.0072,0.28,13.45,1,Red,M,,GJ 3293 b
3212,,0.0016,0.378,12.854,1,Red,M,,GJ 3293 c
3523,,0.0054,0.319,12.43,1,Red,M,,GJ 3293 d
3598,,0.0027,0.67,13.667,1,Red,M,,GJ 3293 e
3142,,0.00132,0.258,14.12,1,Red,M,,GJ 3323 b
3496,,0.00125,0.336,14.94,1,Red,M,,GJ 3323 c
3324,,0.0065,0.471,12.78,1,Red,M,,GJ 3341 b
3463,,0.0027,0.675,14.776,1,Red,M,,GJ 338 B b
16790,,0.0014,0.0121,12.87,2,Blue,B,,GJ 3470 b
